"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2017395946","6/17/2017 12:00:00 AM","6/17/2017 12:00:00 AM","6/17/2017 12:00:00 AM","6625 LEETSDALE DR                                 ","3165646.00","1681209.00","3","322","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017398205","6/17/2017 12:00:00 AM","6/18/2017 12:00:00 AM","6/18/2017 12:00:00 AM","1395 S ACOMA ST                                   ","3143834.00","1677166.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"201740017","1/19/2017 12:00:00 AM","1/19/2017 12:00:00 AM","1/19/2017 12:00:00 AM","4900 N COLORADO BLVD                              ","3157486.00","1711516.00","2","221","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"201740044","1/19/2017 12:00:00 AM","1/19/2017 12:00:00 AM","1/19/2017 12:00:00 AM","380 N QUIVAS ST                                   ","3138698.00","1688328.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017404666","6/20/2017 12:00:00 AM","6/20/2017 12:00:00 AM","6/21/2017 12:00:00 AM","3755 N JACKSON ST                                 ","3156519.00","1705470.00","2","212","2204    ","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","","","",""
"2017405553","6/21/2017 12:00:00 AM","6/21/2017 12:00:00 AM","6/21/2017 12:00:00 AM","4800 N OAKLAND ST                                 ","3182550.00","1711324.00","5","511","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017406339","6/21/2017 12:00:00 AM","6/21/2017 12:00:00 AM","6/21/2017 12:00:00 AM","2949 W ALAMEDA AVE                                ","3133738.00","1684368.00","4","411","2303    ","THEFT - SHOPLIFT","Larceny","INDUSTRY","","","",""
"2017407383","6/21/2017 12:00:00 AM","6/22/2017 12:00:00 AM","6/22/2017 12:00:00 AM","3995 E 50TH AVE                                   ","3156921.00","1712528.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017407620","6/22/2017 12:00:00 AM","6/22/2017 12:00:00 AM","6/22/2017 12:00:00 AM","6359 E EVANS AVE                                  ","3164786.00","1672602.00","3","322","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017409369","6/19/2017 12:00:00 AM","6/20/2017 12:00:00 AM","6/22/2017 12:00:00 AM","4935 N YORK ST                                    ","3151484.00","1711832.00","2","212","2506    ","FORGERY - POSS. OF FORGED FTD","All Other Crimes","INDUSTRY","","","",""
"2017410206","6/23/2017 12:00:00 AM","6/23/2017 12:00:00 AM","6/23/2017 12:00:00 AM","2035 N PERRY ST                                   ","3129450.00","1697774.00","1","121","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017417485","6/26/2017 12:00:00 AM","6/26/2017 12:00:00 AM","6/26/2017 12:00:00 AM","219 N VALLEJO ST                                  ","3136853.00","1687733.00","4","411","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017417485","6/26/2017 12:00:00 AM","6/26/2017 12:00:00 AM","6/26/2017 12:00:00 AM","219 N VALLEJO ST                                  ","3136853.00","1687733.00","4","411","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"201742028","1/19/2017 12:00:00 AM","1/1/1900 12:00:00 AM","1/19/2017 12:00:00 AM","54 N LIPAN ST                                     ","3140258.00","1686675.00","3","311","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2017420883","5/10/2017 12:00:00 AM","6/16/2017 12:00:00 AM","6/27/2017 12:00:00 AM","900 S BROADWAY ST                                 ","3144293.00","1680260.00","3","313","2399    ","THEFT - OTHER","Larceny","NON-INDUSTRY","","","",""
"2017423013","6/28/2017 12:00:00 AM","6/28/2017 12:00:00 AM","6/28/2017 12:00:00 AM","3995 E 50TH AVE                                   ","3156921.00","1712528.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017428538","6/30/2017 12:00:00 AM","1/1/1900 12:00:00 AM","6/30/2017 12:00:00 AM","4910 N FOX ST                                     ","3142427.00","1711405.00","1","112","7399    ","PUBLIC ORDER CRIMES - OTHER","All Other Crimes","INDUSTRY","","","",""
"20174380","1/3/2017 12:00:00 AM","1/3/2017 12:00:00 AM","1/3/2017 12:00:00 AM","2020 S BROADWAY ST                                ","3144349.00","1672869.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017443974","7/6/2017 12:00:00 AM","7/6/2017 12:00:00 AM","7/6/2017 12:00:00 AM","1501 N COLORADO BLVD                              ","3157178.00","1695107.00","2","213","1313","ASSAULT - SIMPLE","Simple Assault","NON-INDUSTRY","","","",""
"2017444036","7/6/2017 12:00:00 AM","7/6/2017 12:00:00 AM","7/6/2017 12:00:00 AM","4400 N GRAPE ST                                   ","3161828.00","1708842.00","2","221","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017447455","7/7/2017 12:00:00 AM","1/1/1900 12:00:00 AM","7/7/2017 12:00:00 AM","468 S FEDERAL BLVD                                ","3133725.00","1683153.00","4","412","2305    ","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","INDUSTRY","","","",""
"2017450433","7/8/2017 12:00:00 AM","7/8/2017 12:00:00 AM","7/8/2017 12:00:00 AM","5300 N JOLIET ST                                  ","3179522.00","1714602.00","5","511","2205    ","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","","","",""
"2017452915","7/9/2017 12:00:00 AM","1/1/1900 12:00:00 AM","7/9/2017 12:00:00 AM","171 N HAZEL CT                                    ","3132795.00","1687282.00","4","411","2399    ","THEFT - OTHER","Larceny","NON-INDUSTRY","","","",""
"2017458777","7/12/2017 12:00:00 AM","7/12/2017 12:00:00 AM","7/12/2017 12:00:00 AM","3240 N PERRY ST                                   ","3129606.00","1703056.00","1","113","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017458791","7/12/2017 12:00:00 AM","7/12/2017 12:00:00 AM","7/12/2017 12:00:00 AM","2035 N PERRY ST                                   ","3129450.00","1697774.00","1","121","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017458806","7/12/2017 12:00:00 AM","7/12/2017 12:00:00 AM","7/12/2017 12:00:00 AM","2036 N PERRY ST                                   ","3129630.00","1697780.00","1","121","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017459275","7/12/2017 12:00:00 AM","7/12/2017 12:00:00 AM","7/12/2017 12:00:00 AM","4501 N ADAMS ST                                   ","3154888.00","1709132.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017462013","7/12/2017 12:00:00 AM","7/13/2017 12:00:00 AM","7/13/2017 12:00:00 AM","260 N SANTA FE DR                                 ","3141128.00","1687684.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017471154","7/17/2017 12:00:00 AM","7/17/2017 12:00:00 AM","7/17/2017 12:00:00 AM","130 N LIPAN ST                                    ","3140266.00","1687162.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017474790","6/1/2017 12:00:00 AM","7/17/2017 12:00:00 AM","7/18/2017 12:00:00 AM","2806 S LAMAR ST                                   ","3121910.00","1667308.00","4","423","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","NON-INDUSTRY","","","",""
"2017483750","7/22/2017 12:00:00 AM","7/22/2017 12:00:00 AM","7/22/2017 12:00:00 AM","468 S FEDERAL BLVD                                ","3133725.00","1683153.00","4","412","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017484339","7/22/2017 12:00:00 AM","7/22/2017 12:00:00 AM","7/22/2017 12:00:00 AM","2426 S FEDERAL BLVD                               ","3133762.00","1670216.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017492588","7/25/2017 12:00:00 AM","1/1/1900 12:00:00 AM","7/25/2017 12:00:00 AM","1800 BLOCK E COLFAX AVE                           ","3150272.00","1694774.00","6","622","1315","MENACING - FELONY W/WEAP","Agg ASLT-Other","NON-INDUSTRY","","","",""
"2017498161","7/27/2017 12:00:00 AM","1/1/1900 12:00:00 AM","7/27/2017 12:00:00 AM","1101 W COLFAX AVE                                 ","3140104.00","1694909.00","1","123","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2017500511","7/28/2017 12:00:00 AM","1/1/1900 12:00:00 AM","7/28/2017 12:00:00 AM","5130 E COLFAX AVE                                 ","3161098.00","1694927.00","2","222","1202    ","ROBBERY - BUSINESS","Robbery-Business","INDUSTRY","","","",""
"2017510091","8/1/2017 12:00:00 AM","8/1/2017 12:00:00 AM","8/1/2017 12:00:00 AM","420 N UTICA ST                                    ","3128056.00","1688399.00","4","411","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017514254","3/8/2017 12:00:00 AM","3/8/2017 12:00:00 AM","8/1/2017 12:00:00 AM","2035 N PERRY ST                                   ","3129450.00","1697774.00","1","121","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017518854","8/5/2017 12:00:00 AM","8/5/2017 12:00:00 AM","8/5/2017 12:00:00 AM","1126 S SHERIDAN BLVD                              ","3125821.00","1678730.00","4","421","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017521911","8/6/2017 12:00:00 AM","8/6/2017 12:00:00 AM","8/6/2017 12:00:00 AM","2245 N SYRACUSE ST                                ","3168956.00","1698839.00","2","223","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2017524966","8/7/2017 12:00:00 AM","8/7/2017 12:00:00 AM","8/8/2017 12:00:00 AM","3702 W QUINCY AVE                                 ","3130770.00","1657675.00","4","423","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017527690","8/9/2017 12:00:00 AM","8/9/2017 12:00:00 AM","8/9/2017 12:00:00 AM","4400 N GRAPE ST                                   ","3161828.00","1708842.00","2","221","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017528706","8/9/2017 12:00:00 AM","1/1/1900 12:00:00 AM","8/9/2017 12:00:00 AM","10700 E DARTMOUTH AVE                             ","3179718.00","1665260.00","3","323","2399    ","THEFT - OTHER","Larceny","NON-INDUSTRY","","","",""
"2017530162","8/10/2017 12:00:00 AM","1/1/1900 12:00:00 AM","8/10/2017 12:00:00 AM","1055 19TH ST                                      ","3143054.00","1698655.00","6","611","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2017532052","8/10/2017 12:00:00 AM","1/1/1900 12:00:00 AM","8/10/2017 12:00:00 AM","2700 BLOCK W 38TH AVE                             ","3134677.00","1705373.00","1","113","1210    ","ROBBERY - PURSE SNATCH W/FORCE","Robbery-Street-Res","INDUSTRY","","","",""
"2017533507","8/10/2017 12:00:00 AM","8/11/2017 12:00:00 AM","8/11/2017 12:00:00 AM","20 E 9TH AVE                                      ","3144383.00","1691311.00","6","623","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017539278","8/13/2017 12:00:00 AM","8/13/2017 12:00:00 AM","8/13/2017 12:00:00 AM","2440 W EVANS AVE                                  ","3135979.00","1672359.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
